Pressure (MPa),Burn Rate (mm/s)
2.2919320000000005,7.7677934418012455
2.2988590000000007,7.767488708095354
2.3057860000000003,7.767184903144382
2.3127130000000005,7.766882021340281
2.3196400000000006,7.766580057125537
2.3265670000000003,7.766279004992562
2.3334940000000004,7.765978859483103
2.3404210000000005,7.765679615187655
2.3473480000000007,7.765381266744876
2.3542750000000003,7.765083808841026
2.3612020000000005,7.7647872362094015
2.3681290000000006,7.764491543629783
2.3750560000000003,7.764196725927892
2.3819830000000004,7.76390277797485
2.3889100000000005,7.763609694686653
2.3958370000000007,7.763317471023651
2.4027640000000003,7.763026101990029
2.4096910000000005,7.762735582633307
2.4166180000000006,7.762445908043834
2.4235450000000003,7.762157073354305
2.4304720000000004,7.761869073739265
2.4373990000000005,7.76158190441464
2.4443260000000007,7.761295560637262
2.4512530000000003,7.761010037704404
2.4581800000000005,7.760725330953324
2.4651070000000006,7.760441435760813
2.4720340000000003,7.760158347542748
2.4789610000000004,7.759876061753653
2.4858880000000005,7.759594573886272
2.4928150000000007,7.759313879471133
2.4997420000000004,7.759033974076137
2.5066690000000005,7.758754853306132
2.5135960000000006,7.758476512802517
2.5205230000000003,7.758198948242824
2.5274500000000004,7.757922155340333
2.5343770000000005,7.757646129843671
2.5413040000000007,7.7573708675364275
2.5482310000000004,7.757096364236775
2.5551580000000005,7.756822615797086
2.5620850000000006,7.756549618103567
2.5690120000000003,7.756277367075893
2.5759390000000004,7.756005858666838
2.5828660000000006,7.755735088861927
2.5897930000000007,7.755465053679079
2.5967200000000004,7.755195749168262
2.6036470000000005,7.754927171411148
2.6105740000000006,7.754659316520778
2.6175010000000003,7.754392180641225
2.6244280000000004,7.754125759947269
2.6313550000000006,7.753860050644068
2.6382820000000007,7.753595048966842
2.6452090000000004,7.753330751180551
2.6521360000000005,7.753067153579587
2.6590630000000006,7.752804252487467
2.6659900000000003,7.752542044256523
2.6729170000000004,7.752280525267611
2.6798440000000006,7.752019691929803
2.6867710000000007,7.751759540680107
2.6936980000000004,7.7515000679831685
2.7006250000000005,7.7512412703309925
2.7075520000000006,7.750983144242659
2.7144790000000003,7.750725686264046
2.7214060000000004,7.750468892967551
2.7283330000000006,7.7502127609518325
2.7352600000000007,7.7499572868415285
2.7421870000000004,7.749702467287002
2.7491140000000005,7.7494482989640785
2.7560410000000006,7.749194778573787
2.7629680000000003,7.748941902842107
2.7698950000000004,7.748689668519718
2.7768220000000006,7.748438072381756
2.7837490000000007,7.748187111227559
2.7906760000000004,7.747936781880436
2.7976030000000005,7.747687081187423
2.8045300000000006,7.747438006019048
2.8114570000000008,7.7471895532691
2.8183840000000004,7.746941719854399
2.8253110000000006,7.746694502714567
2.8322380000000007,7.746447898811807
2.8391650000000004,7.74620190513068
2.8460920000000005,7.745956518677885
2.8530190000000006,7.745711736482047
2.8599460000000008,7.745467555593499
2.8668730000000004,7.745223973084075
2.8738000000000006,7.7449809860469
2.8807270000000007,7.7447385915961835
2.8876540000000004,7.744496786867019
2.8945810000000005,7.74425556901518
2.9015080000000006,7.744014935216923
2.9084350000000008,7.743774882668796
2.9153620000000005,7.743535408587433
2.9222890000000006,7.743296510209376
2.9292160000000007,7.743058184790878
2.9361430000000004,7.742820429607719
2.9430700000000005,7.742583241955021
2.9499970000000006,7.74234661914706
2.9569240000000008,7.7421105585170995
2.9638510000000005,7.741875057417197
2.9707780000000006,7.741640113218036
2.9777050000000007,7.741405723308751
2.9846320000000004,7.741171885096755
2.9915590000000005,7.7409385960075685
2.9984860000000007,7.740705853484652
3.005413000000001,7.740473654989242
3.0123400000000005,7.740241998000183
3.0192670000000006,7.740010880013769
3.0261940000000007,7.739780298543577
3.0331210000000004,7.739550251120317
3.0400480000000005,7.7393207352916695
3.0469750000000007,7.739091748622131
3.053902000000001,7.738863288692859
3.0608290000000005,7.73863535310153
3.0677560000000006,7.738407939462175
3.0746830000000007,7.738181045405044
3.0816100000000004,7.737954668576452
3.0885370000000005,7.737728806638638
3.0954640000000007,7.7375034572696215
3.102391000000001,7.737278618163058
3.1093180000000005,7.737054287028105
3.1162450000000006,7.736830461589274
3.1231720000000007,7.7366071395863045
3.1300990000000004,7.7363843187740216
3.1370260000000005,7.736161996922204
3.1439530000000007,7.735940171815453
3.150880000000001,7.735718841253059
3.1578070000000005,7.735498003048875
3.1647340000000006,7.735277655031183
3.1716610000000007,7.73505779504258
3.1785880000000004,7.734838420939832
3.1855150000000005,7.734619530593774
3.1924420000000007,7.734401121889168
3.199369000000001,7.7341831927245925
3.2062960000000005,7.733965741012319
3.2132230000000006,7.733748764678194
3.2201500000000007,7.733532261661522
3.2270770000000004,7.73331622991495
3.2340040000000005,7.733100667404348
3.2409310000000007,7.732885572108706
3.247858000000001,7.7326709420200075
3.2547850000000005,7.73245677514313
3.2617120000000006,7.732243069495733
3.2686390000000007,7.732029823108141
3.2755660000000004,7.731817034023246
3.2824930000000005,7.731604700296397
3.2894200000000007,7.731392819995291
3.296347000000001,7.731181391199877
3.3032740000000005,7.730970412002244
3.3102010000000006,7.730759880506525
3.3171280000000007,7.730549794828795
3.3240550000000004,7.730340153096966
3.3309820000000006,7.730130953450696
3.3379090000000007,7.729922194041285
3.344836000000001,7.729713873031583
3.3517630000000005,7.729505988595887
3.3586900000000006,7.7292985389198545
3.3656170000000007,7.729091522200403
3.3725440000000004,7.728884936645622
3.3794710000000006,7.728678780474679
3.3863980000000007,7.728473051917724
3.393325000000001,7.728267749215807
3.4002520000000005,7.728062870620787
3.4071790000000006,7.727858414395239
3.4141060000000008,7.727654378812372
3.4210330000000004,7.7274507621559385
3.4279600000000006,7.7272475627201525
3.4348870000000007,7.727044778809601
3.441814000000001,7.726842408739166
3.4487410000000005,7.726640450833932
3.4556680000000006,7.726438903429114
3.4625950000000008,7.726237764869971
3.4695220000000004,7.726037033511725
3.4764490000000006,7.72583670771948
3.4833760000000007,7.725636785868149
3.490303000000001,7.725437266342372
3.4972300000000005,7.725238147536436
3.5041570000000006,7.725039427854202
3.5110840000000008,7.72484110570903
3.5180110000000004,7.7246431795237
3.5249380000000006,7.7244456477303425
3.5318650000000007,7.7242485087703585
3.538792000000001,7.724051761094352
3.5457190000000005,7.723855403162057
3.5526460000000006,7.723659433442263
3.5595730000000008,7.723463850412747
3.5665000000000004,7.723268652560202
3.5734270000000006,7.723073838380172
3.5803540000000007,7.722879406376972
3.587281000000001,7.722685355063633
3.5942080000000005,7.722491682961828
3.6011350000000006,7.722298388601805
3.6080620000000008,7.7221054705223215
3.6149890000000005,7.72191292727058
3.6219160000000006,7.721720757402165
3.6288430000000007,7.721528959480972
3.635770000000001,7.7213375320791515
3.6426970000000005,7.721146473777041
3.6496240000000006,7.720955783163103
3.6565510000000008,7.720765458833869
3.6634780000000005,7.720575499393869
3.6704050000000006,7.720385903455576
3.6773320000000007,7.72019666963935
3.684259000000001,7.720007796573367
3.6911860000000005,7.719819282893572
3.6981130000000006,7.7196311272436136
3.7050400000000008,7.719443328274787
3.7119670000000005,7.71925588464598
3.7188940000000006,7.719068795023612
3.7258210000000007,7.71888205808158
3.732748000000001,7.7186956725012035
3.7396750000000005,7.718509636971167
3.7466020000000007,7.718323950187469
3.753529000000001,7.7181386108533605
3.7604560000000005,7.935916413289915
3.7673830000000006,7.943733945347138
3.7743100000000007,7.951544796385547
3.781237000000001,7.959348984360876
3.7881640000000005,7.967146527147804
3.7950910000000007,7.974937442540483
3.802018000000001,7.982721748253034
3.8089450000000005,7.990499461920054
3.8158720000000006,7.998270601097127
3.8227990000000007,8.006035183261307
3.829726000000001,8.013793225811616
3.8366530000000005,8.02154474606954
3.8435800000000007,8.029289761279506
3.850507000000001,8.03702828860936
3.8574340000000005,8.044760345150854
3.8643610000000006,8.052485947920111
3.8712880000000007,8.060205113858103
3.878215000000001,8.067917859831104
3.8851420000000005,8.075624202631165
3.8920690000000007,8.083324158976568
3.898996000000001,8.091017745512278
3.9059230000000005,8.098704978810392
3.9128500000000006,8.106385875370595
3.9197770000000007,8.1140604516206
3.926704000000001,8.121728723916588
3.9336310000000005,8.129390708543639
3.9405580000000007,8.137046421716182
3.947485000000001,8.144695879578403
3.9544120000000005,8.152339098204694
3.9613390000000006,8.159976093600065
3.9682660000000007,8.167606881700559
3.975193000000001,8.175231478373682
3.9821200000000005,8.182849899418807
3.9890470000000007,8.19046216056759
3.995974000000001,8.19806827748437
4.0029010000000005,8.205668265766585
4.009828000000001,8.213262140945162
4.016755000000001,8.22084991848492
4.023682000000001,8.228431613784963
4.030609,8.23600724217907
4.037536,8.243576818936099
4.044463,8.251140359260347
4.0513900000000005,8.25869787829195
4.058317000000001,8.266249391107264
4.065244000000001,8.27379491271923
4.072171000000001,8.281334458077763
4.079098,8.288868042070112
4.086025,8.296395679521234
4.092952,8.303917385194158
4.0998790000000005,8.31143317379035
4.106806000000001,8.318943059950067
4.113733,8.326447058252723
4.12066,8.333945183217242
4.127587,8.341437449302406
4.134514,8.348923870907205
4.141441,8.356404462371191
4.1483680000000005,8.363879237974812
4.155295000000001,8.371348211939763
4.162222,8.378811398429319
4.169149,8.386268811548675
4.176076,8.39372046534528
4.183003,8.401166373809167
4.18993,8.408606550873285
4.1968570000000005,8.41604101041382
4.203784000000001,8.423469766250534
4.210711,8.430892832147062
4.217638,8.438310221811262
4.224565,8.445721948895507
4.231492,8.45312802699701
4.238419,8.460528469658147
4.2453460000000005,8.467923290366745
4.252273000000001,8.475312502556408
4.2592,8.482696119606816
4.266127,8.490074154844038
4.273054,8.497446621540814
4.279981,8.504813532916872
4.286908,8.512174902139222
4.2938350000000005,8.519530742322443
4.300762000000001,8.526881066528988
4.307689,8.53422588776946
4.314616,8.541565219002916
4.321543,8.548899073137145
4.32847,8.556227463028954
4.335397,8.563550401484449
4.3423240000000005,8.57086790125932
4.349251000000001,8.578179975059113
4.356178,8.58548663553952
4.363105,8.592787895306634
4.370032,8.600083766917239
4.376959,8.607374262879071
4.383886,8.614659395651088
4.3908130000000005,8.621939177643743
4.397740000000001,8.629213621219241
4.404667,8.636482738691807
4.411594,8.643746542327946
4.418521,8.651005044346707
4.425448,8.658258256919929
4.432375,8.66550619217251
