"Time(s)", "Thrust (N)"
0.018668,1103.16
0.018702,1101.36
0.018736,1101.36
0.018768,1098.72
0.018802,1099.68
0.018835,1099.56
0.018869,1099.68
0.018903,1099.56
0.018935,1099.08
0.018969,1092.72
0.019003,1092.72
0.019036,1097.76
0.01907,1097.76
0.019103,1095.12
0.019134,1095.12
0.01917,1091.4
0.019203,1095
0.019236,1095
0.01927,1103.64
0.019303,1103.64
0.019337,1099.92
0.019371,1098.24
0.019403,1098.24
0.019437,1096.44
0.01947,1090.08
0.019504,1088.76
0.019538,1088.76
0.01957,1092.96
0.019604,1092.96
0.019641,1098.48
0.01967,1098.48
0.019704,1100.04
0.019738,1103.16
0.019771,1103.16
0.019805,1099.8
0.019838,1091.76
0.019871,1092.72
0.019905,1092.72
0.019938,1101.6
0.019972,1104
0.020005,1104
0.020038,1093.44
0.020072,1084.32
0.020106,1084.32
0.020139,1094.88
0.020172,1094.88
0.020205,1094.88
0.020239,1090.44
0.020273,1090.44
0.020306,1090.44
0.020339,1091.4
0.020373,1091.4
0.020406,1082.16
0.02044,1078.08
0.020472,1078.08
0.020506,1078.08
0.02054,1052.88
0.020573,1047.36
0.020618,1047.36
0.020652,1047.36
0.020684,1045.32
0.020718,1038.36
0.020751,1034.28
0.020785,1030.92
0.020816,1034.28
0.020851,1045.56
0.020885,1047.24
0.020919,1047.6
0.020952,1047.24
0.020985,1047.6
0.021019,1056.72
0.021052,1057.8
0.021086,1056.72
0.021119,1058.16
0.021152,1056
0.021186,1052.4
0.021219,1052.4
0.021253,1058.28
0.021287,1058.28
0.021319,1038.48
0.021353,1038.48
0.021386,1044.12
0.02142,1044.48
0.021453,1044.48
0.021486,1063.92
0.02152,1063.92
0.021554,1049.52
0.021587,1049.4
0.02162,1049.4
0.021654,1051.92
0.021687,1055.4
0.021721,1055.4
0.021753,1053.6
0.021787,1045.56
0.021821,1053.6
0.021854,1063.2
0.021888,1063.2
0.021921,1047.48
0.021952,1047.48
0.021988,1065.48
0.022022,1070.76
0.022055,1085.52
0.022088,1092.36
0.022121,1092.36
0.022155,1048.56
0.022189,1042.68
0.022221,1042.68
0.022255,1044.36
0.022289,1068.48
0.022322,1068.48
0.022356,1050.36
0.022388,1041.24
0.022424,1024.44
0.022456,1024.44
0.022489,1036.32
0.022522,1045.44
0.022556,1047
0.022589,1047
0.022623,1039.44
0.022657,1022.16
0.022689,1020
0.022723,1020
0.022756,1027.8
0.02279,1043.16
0.022824,1043.16
0.022856,1043.16
0.02289,1047.6
0.022924,1048.92
0.022957,1047.6
0.02299,1047.48
0.023024,1025.76
0.023057,1025.76
0.023089,1028.4
0.023124,1035.84
0.023157,1035.84
0.023191,1023.48
0.023224,1008
0.023258,1008
0.023291,1011.12
0.023324,1011.12
0.023358,999.12
0.023391,999.12
0.023425,998.76
0.023458,1001.76
0.023491,1000.32
0.023525,1000.32
0.023559,973.32
0.023592,973.32
0.023625,978.12
0.023659,989.28
0.023692,997.32
0.023726,998.52
0.023758,1004.76
0.023792,1021.44
0.023826,1021.44
0.023859,1017.72
0.023893,1016.76
0.023926,1016.76
0.023959,1016.76
0.023993,1012.08
0.024027,1004.88
0.024059,1003.44
0.024093,991.2
0.024126,981.36
0.02416,971.04
0.024194,970.68
0.024225,970.68
0.02426,974.88
0.024294,976.92
0.024327,979.32
0.024361,998.28
0.024393,998.28
0.024427,998.28
0.024461,995.76
0.024494,993.48
0.02453,993.48
0.024561,995.76
0.024594,1019.76
0.02463,1029.48
0.024662,1029.48
0.024694,1022.28
0.024728,1004.76
0.024761,991.68
0.024795,991.68
0.024829,1006.56
0.024861,1018.08
0.024895,1030.68
0.024929,1031.04
0.024962,1032.24
0.024995,1031.04
0.025029,1005.6
0.025062,1005.6
0.025096,1012.2
0.025129,1012.56
0.025162,1012.56
0.025196,1008.36
0.025229,1008.36
0.025263,1013.52
0.025296,1030.68
0.025329,1030.68
0.025361,1017.24
0.025396,1015.32
0.02543,1015.32
0.025463,1029.84
0.025496,1045.08
0.02553,1064.52
0.025564,1070.64
0.025597,1087.32
0.02563,1087.32
0.025664,1075.8
0.025697,1075.8
0.025731,1089.6
0.025763,1118.4
0.025797,1123.8
0.025831,1118.4
0.025864,1118.76
0.025898,1118.76
0.025931,1136.4
0.025964,1136.4
0.025998,1116
0.026032,1107.36
0.026064,1098.24
0.026098,1101.72
0.026131,1098.24
0.026165,1091.88
0.026199,1033.56
0.026231,1021.2
0.026265,1016.64
0.026299,1016.64
0.026332,1027.8
0.026366,1027.8
0.026398,975.24
0.026432,975.24
0.026466,1056.84
0.026502,1056.84
0.026536,1044
0.026566,1026.84
0.026599,988.68
0.026637,962.64
0.026665,948.12
0.026699,944.76
0.026733,944.76
0.026766,980.28
0.0268,987.24
0.026834,987.24
0.026866,987.24
0.0269,1011.24
0.026934,1074.48
0.026967,1122.84
0.027,1144.56
0.027034,1150.44
0.027067,1169.4
0.027101,1176.72
0.027134,1174.8
0.027167,1174.8
0.027201,1110.12
0.027234,1103.52
0.027268,1086.36
0.027301,1094.28
0.027334,1083.24
0.027368,1024.68
0.027401,1024.68
0.027435,1033.92
0.027468,1033.92
0.027501,1016.16
0.027535,1007.16
0.027569,1007.16
0.027602,1029.36
0.027638,1038.6
0.027667,1057.92
0.027702,1057.92
0.027736,1033.56
0.027768,1033.56
0.027802,1035
0.027836,1080.84
0.027869,1091.52
0.027903,1091.52
0.027936,1091.52
0.027969,1093.56
0.028003,1093.56
0.028037,1089.48
0.028069,1043.16
0.028103,1003.2
0.028136,1003.2
0.02817,1009.92
0.028204,1025.04
0.028236,1043.04
0.02827,1051.2
0.028304,1083.84
0.028337,1083.84
0.028371,1068.12
0.028403,1046.76
0.028437,1023
0.028471,1020.96
0.028504,994.2
0.028542,967.2
0.028569,956.16
0.028604,925.08
0.028642,925.08
0.02867,957
0.028704,957
0.028738,927.96
0.028774,924.84
0.028803,924.84
0.028839,924.84
0.028871,876.6
0.028905,857.28
0.028939,857.28
0.028972,898.2
0.029005,917.04
0.029039,922.32
0.029072,945.96
0.029106,995.28
0.02914,998.76
0.029172,998.76
0.029206,998.76
0.029239,1015.44
0.029273,1025.88
0.029306,1025.88
0.029339,1015.92
0.029373,1005.84
0.029407,1003.92
0.02944,1003.92
0.029473,1039.44
0.029506,1039.44
0.02954,1024.08
0.029574,1024.08
0.029607,1050.36
0.02964,1050.36
0.029675,1029.48
0.029707,1027.56
0.029741,1025.4
0.029773,1016.88
0.029807,1001.76
0.029841,991.2
0.029874,991.2
0.029908,1000.32
0.029939,1000.32
0.029974,964.08
0.030008,964.08
0.030042,992.4
0.030074,992.4
0.030108,954
0.030142,944.04
0.030175,944.04
0.030209,945.72
0.030241,977.52
0.030275,977.4
0.030309,998.64
0.030342,1000.56
0.030376,1000.56
0.030409,979.56
0.030442,974.52
0.030476,974.52
0.030509,1037.76
0.030542,1037.76
0.030576,1035.84
0.030609,1035.84
0.030646,1105.08
0.030677,1105.08
0.030709,1097.52
0.030743,1092.12
0.030776,1097.52
0.03081,1101
0.030843,1101
0.030876,1094.04
0.03091,1088.52
0.030944,1079.4
0.030977,1066.32
0.03101,1062.24
0.031044,1066.32
0.031075,1062.24
0.031111,1039.8
0.031145,1039.8
0.031177,1040.88
0.031215,1040.88
0.031243,1013.52
0.031278,996.48
0.031311,984.24
0.031344,983.04
0.031378,981.72
0.031412,980.16
0.031445,978.24
0.031478,978.24
0.031511,978.24
0.031545,968.76
0.031579,958.2
0.031611,958.2
0.031647,963
0.031679,988.92
0.031712,993
0.031748,995.28
0.031778,1009.32
0.031812,1015.44
0.031846,1015.44
0.031879,1008.12
