"Tempo(s)","Empuxo(N)"
"0.34739080963783","1145.9880487222"
"0.34839080963783","1146.1278461697"
"0.34939080963783","1146.2674983161"
"0.35039080963783","1146.4070051625"
"0.35139080963783","1146.5463667098"
"0.35239080963783","1146.6855829592"
"0.35339080963783","1146.8246539118"
"0.35439080963783","1146.9635795686"
"0.35539080963783","1147.1023599306"
"0.35639080963783","1147.240994999"
"0.35739080963783","1147.3794847747"
"0.35839080963783","1147.5178292589"
"0.35939080963783","1147.6560284527"
"0.36039080963783","1147.794082357"
"0.36139080963783","1147.9319909729"
"0.36239080963783","1148.0697543016"
"0.36339080963783","1148.207372344"
"0.36439080963783","1148.3448451012"
"0.36539080963783","1148.4821725742"
"0.36639080963783","1148.6193547642"
"0.36739080963783","1148.7563916721"
"0.36839080963783","1148.893283299"
"0.36939080963783","1149.030029646"
"0.37039080963783","1149.1666307141"
"0.37139080963783","1149.3030865043"
"0.37239080963783","1149.4393970178"
"0.37339080963783","1149.5755622555"
"0.37439080963783","1149.7115822184"
"0.37539080963783","1149.8474569077"
"0.37639080963783","1149.9831863244"
"0.37739080963783","1150.1187704695"
"0.37839080963783","1150.254209344"
"0.37939080963783","1150.3895029491"
"0.38039080963783","1150.5246512856"
"0.38139080963783","1150.6596543547"
"0.38239080963783","1150.7945121574"
"0.38339080963783","1150.9292246948"
"0.38439080963783","1151.0637919678"
"0.38539080963783","1151.1982139775"
"0.38639080963783","1151.3324907249"
"0.38739080963783","1151.4666222111"
"0.38839080963783","1151.600608437"
"0.38939080963783","1151.7344494038"
"0.39039080963783","1151.8681451123"
"0.39139080963783","1152.0016955638"
"0.39239080963783","1152.1351007591"
"0.39339080963783","1152.2683606994"
"0.39439080963783","1152.4014753855"
"0.39539080963783","1152.5344448186"
"0.39639080963783","1152.6672689997"
"0.39739080963783","1152.7999479297"
"0.39839080963783","1152.9324816098"
"0.39939080963783","1153.0648700408"
"0.40039080963783","1153.1971132239"
"0.40139080963783","1153.3292111601"
"0.40239080963783","1153.4611638503"
"0.40339080963783","1153.5929712955"
"0.40439080963783","1153.7246334968"
"0.40539080963783","1153.8561504553"
"0.40639080963783","1153.9875221718"
"0.40739080963783","1154.1187486474"
"0.40839080963783","1154.2498298831"
"0.40939080963783","1154.38076588"
"0.41039080963783","1154.5115566389"
"0.41139080963783","1154.642202161"
"0.41239080963783","1154.7727024472"
"0.41339080963783","1154.9030574985"
"0.41439080963783","1155.0332673159"
"0.41539080963783","1155.1633319004"
"0.41639080963783","1155.2932512531"
"0.41739080963783","1155.4230253748"
"0.41839080963783","1155.5526542667"
"0.41939080963783","1155.6821379296"
"0.42039080963783","1155.8114763647"
"0.42139080963783","1155.9406695728"
"0.42239080963783","1156.069717555"
"0.42339080963783","1156.1986203123"
"0.42439080963783","1156.3273778456"
"0.42539080963783","1156.4559901559"
"0.42639080963783","1156.5844572443"
"0.42739080963783","1156.7127791117"
"0.42839080963783","1156.840955759"
"0.42939080963783","1156.9689871873"
"0.43039080963783","1157.0968733976"
"0.43139080963783","1157.2246143908"
"0.43239080963783","1157.352210168"
"0.43339080963783","1157.47966073"
"0.43439080963783","1157.6069660779"
"0.43539080963783","1157.7341262126"
"0.43639080963783","1157.8611411351"
"0.43739080963783","1157.9880108464"
"0.43839080963783","1158.1147353475"
"0.43939080963783","1158.2413146394"
"0.44039080963783","1158.3677487229"
"0.44139080963783","1158.4940375991"
"0.44239080963783","1158.620181269"
"0.44339080963783","1158.7461797334"
"0.44439080963783","1158.8720329935"
"0.44539080963783","1158.99774105"
"0.44639080963783","1159.1233039041"
"0.44739080963783","1159.2487215566"
"0.44839080963783","1159.3739940086"
"0.44939080963783","1159.499121261"
"0.45039080963783","1159.6241033147"
"0.45139080963783","1159.7489401707"
"0.45239080963783","1159.8736318299"
"0.45339080963783","1159.9981782934"
"0.45439080963783","1160.1225795621"
"0.45539080963783","1160.2468356368"
"0.45639080963783","1160.3709465187"
"0.45739080963783","1160.4949122086"
"0.45839080963783","1160.6187327075"
"0.45939080963783","1160.7424080162"
"0.46039080963783","1160.8659381359"
"0.46139080963783","1160.9893230674"
"0.46239080963783","1161.1125628117"
"0.46339080963783","1161.2356573696"
"0.46439080963783","1161.3586067423"
"0.46539080963783","1161.4814109305"
"0.46639080963783","1161.6040699353"
"0.46739080963783","1161.7265837575"
"0.46839080963783","1161.8489523982"
"0.46939080963783","1161.9711758582"
"0.47039080963783","1162.0932541386"
"0.47139080963783","1162.2151872401"
"0.47239080963783","1162.3369751639"
"0.47339080963783","1162.4586179107"
"0.47439080963783","1162.5801154816"
"0.47539080963783","1162.7014678774"
"0.47639080963783","1162.8226750991"
"0.47739080963783","1162.9437371476"
"0.47839080963783","1163.0646540239"
"0.47939080963783","1163.1854257289"
"0.48039080963783","1163.3060522635"
"0.48139080963783","1163.4265336286"
"0.48239080963783","1163.5468698251"
"0.48339080963783","1163.6670608541"
"0.48439080963783","1163.7871067163"
"0.48539080963783","1163.9070074127"
"0.48639080963783","1164.0267629443"
"0.48739080963783","1164.146373312"
"0.48839080963783","1164.2658385166"
"0.48939080963783","1164.3851585591"
"0.49039080963783","1164.5043334404"
"0.49139080963783","1164.6233631614"
"0.49239080963783","1164.742247723"
"0.49339080963783","1164.8609871262"
"0.49439080963783","1164.9795813718"
"0.49539080963783","1165.0980304608"
"0.49639080963783","1165.2163343941"
"0.49739080963783","1165.3344931725"
"0.49839080963783","1165.452506797"
"0.49939080963783","1165.5703752685"
"0.50039080963783","1165.6880985879"
"0.50139080963783","1165.805676756"
"0.50239080963783","1165.9231097739"
"0.50339080963783","1166.0403976424"
"0.50439080963783","1166.1575403623"
"0.50539080963783","1166.2745379347"
"0.50639080963783","1166.3913903603"
"0.50739080963783","1166.5080976401"
"0.50839080963783","1166.624659775"
"0.50939080963783","1166.7410767658"
"0.51039080963783","1166.8573486136"
"0.51139080963783","1166.973475319"
"0.51239080963783","1167.0894568832"
"0.51339080963783","1167.2052933068"
"0.51439080963783","1167.3209845909"
"0.51539080963783","1167.4365307363"
"0.51639080963783","1167.5519317439"
"0.51739080963783","1167.6671876146"
"0.51839080963783","1167.7822983492"
"0.51939080963783","1167.8972639487"
"0.52039080963783","1168.0120844139"
"0.52139080963783","1168.1267597458"
"0.52239080963783","1168.2412899451"
"0.52339080963783","1168.3556750128"
"0.52439080963783","1168.4699149497"
"0.52539080963783","1168.5840097567"
"0.52639080963783","1168.6979594348"
"0.52739080963783","1168.8117639847"
"0.52839080963783","1168.9254234074"
"0.52939080963783","1169.0389377036"
"0.53039080963783","1169.1523068744"
"0.53139080963783","1169.2655309205"
"0.53239080963783","1169.3786098428"
"0.53339080963783","1169.4915436422"
"0.53439080963783","1169.6043323196"
"0.53539080963783","1169.7169758758"
"0.53639080963783","1169.8294743116"
"0.53739080963783","1169.9418276281"
"0.53839080963783","1170.0540358259"
"0.53939080963783","1170.166098906"
"0.54039080963783","1170.2780168692"
"0.54139080963783","1170.3897897164"
"0.54239080963783","1170.5014174484"
"0.54339080963783","1170.6129000662"
"0.54439080963783","1170.7242375705"
"0.54539080963783","1170.8354299622"
"0.54639080963783","1170.9464772422"
"0.54739080963783","1171.0573794112"
"0.54839080963783","1171.1681364703"
"0.54939080963783","1171.2787484201"
"0.55039080963783","1171.3892152616"
"0.55139080963783","1171.4995369957"
"0.55239080963783","1171.609713623"
"0.55339080963783","1171.7197451446"
"0.55439080963783","1171.8296315612"
"0.55539080963783","1171.9393728737"
"0.55639080963783","1172.0489690829"
"0.55739080963783","1172.1584201897"
"0.55839080963783","1172.2677261949"
"0.55939080963783","1172.3768870994"
"0.56039080963783","1172.4859029039"
"0.56139080963783","1172.5947736093"
"0.56239080963783","1172.7034992165"
"0.56339080963783","1172.8120797263"
"0.56439080963783","1172.9205151395"
"0.56539080963783","1173.028805457"
"0.56639080963783","1173.1369506795"
"0.56739080963783","1173.2449508079"
"0.56839080963783","1173.3528058431"
"0.56939080963783","1173.4605157859"
"0.57039080963783","1173.568080637"
"0.57139080963783","1173.6755003974"
"0.57239080963783","1173.7827750678"
"0.57339080963783","1173.8899046491"
"0.57439080963783","1173.996889142"
"0.57539080963783","1174.1037285475"
"0.57639080963783","1174.2104228663"
"0.57739080963783","1174.3169720992"
"0.57839080963783","1174.4233762471"
"0.57939080963783","1174.5296353108"
"0.58039080963783","1174.6357492911"
"0.58139080963783","1174.7417181888"
"0.58239080963783","1174.8475420047"
"0.58339080963783","1174.9532207396"
"0.58439080963783","1175.0587543944"
"0.58539080963783","1175.1641429698"
"0.58639080963783","1175.2693864667"
"0.58739080963783","1175.3744848859"
"0.58839080963783","1175.4794382281"
"0.58939080963783","1175.5842464942"
"0.59039080963783","1175.688909685"
"0.59139080963783","1175.7934278013"
"0.59239080963783","1175.8978008439"
"0.59339080963783","1176.0020288135"
"0.59439080963783","1176.1061117111"
"0.59539080963783","1176.2100495373"
"0.59639080963783","1176.3138422931"
"0.59739080963783","1176.4174899791"
"0.59839080963783","1176.5209925961"
"0.59939080963783","1176.6243501451"
"0.60039080963783","1176.7275626267"
"0.60139080963783","1176.8306300418"
"0.60239080963783","1176.9335523911"
"0.60339080963783","1177.0363296754"
"0.60439080963783","1177.1389618956"
"0.60539080963783","1177.2414490524"
"0.60639080963783","1177.3437911466"
"0.60739080963783","1177.445988179"
"0.60839080963783","1177.5480401503"
"0.60939080963783","1177.6499470614"
"0.61039080963783","1177.751708913"
"0.61139080963783","1177.8533257059"
"0.61239080963783","1177.954797441"
"0.61339080963783","1178.0561241188"
"0.61439080963783","1178.1573057404"
"0.61539080963783","1178.2583423064"
"0.61639080963783","1178.3592338175"
"0.61739080963783","1178.4599802747"
"0.61839080963783","1178.5605816786"
"0.61939080963783","1178.66103803"
"0.62039080963783","1178.7613493297"
"0.62139080963783","1178.8615155784"
"0.62239080963783","1178.961536777"
"0.62339080963783","1179.0614129262"
"0.62439080963783","1179.1611440267"
"0.62539080963783","1179.2607300794"
"0.62639080963783","1179.360171085"
"0.62739080963783","1179.4594670442"
"0.62839080963783","1179.5586179578"
"0.62939080963783","1179.6576238266"
"0.63039080963783","1179.7564846514"
"0.63139080963783","1179.8552004328"
"0.63239080963783","1179.9537711717"
"0.63339080963783","1180.0521968689"
"0.63439080963783","1180.1504775249"
"0.63539080963783","1180.2486131407"
"0.63639080963783","1180.346603717"
"0.63739080963783","1180.4444492545"
"0.63839080963783","1180.542149754"
"0.63939080963783","1180.6397052162"
"0.64039080963783","1180.7371156418"
"0.64139080963783","1180.8343810317"
"0.64239080963783","1180.9315013866"
"0.64339080963783","1181.0284767072"
"0.64439080963783","1181.1253069942"
"0.64539080963783","1181.2219922485"
"0.64639080963783","1181.3185324706"
"0.64739080963783","1181.4149276615"
"0.64839080963783","1181.5111778218"
"0.64939080963783","1181.6072829523"
"0.65039080963783","1181.7032430536"
"0.65139080963783","1181.7990581266"
"0.65239080963783","1181.894728172"
"0.65339080963783","1181.9902531905"
"0.65439080963783","1182.0856331828"
"0.65539080963783","1182.1808681497"
"0.65639080963783","1182.2759580919"
"0.65739080963783","1182.3709030101"
"0.65839080963783","1182.4657029051"
"0.65939080963783","1182.5603577776"
"0.66039080963783","1182.6548676283"
"0.66139080963783","1182.7492324579"
"0.66239080963783","1182.8434522672"
"0.66339080963783","1182.9375270569"
"0.66439080963783","1183.0314568277"
"0.66539080963783","1183.1252415804"
"0.66639080963783","1183.2188813156"
"0.66739080963783","1183.312376034"
"0.66839080963783","1183.4057257365"
"0.66939080963783","1183.4989304237"
"0.67039080963783","1183.5919900963"
"0.67139080963783","1183.684904755"
"0.67239080963783","1183.7776744006"
"0.67339080963783","1183.8702990337"
"0.67439080963783","1183.9627786551"
"0.67539080963783","1184.0551132655"
"0.67639080963783","1184.1473028656"
"0.67739080963783","1184.2393474561"
"0.67839080963783","1184.3312470377"
"0.67939080963783","1184.4230016111"
"0.68039080963783","1184.514611177"
"0.68139080963783","1184.6060757362"
"0.68239080963783","1184.6973952893"
"0.68339080963783","1184.788569837"
"0.68439080963783","1184.87959938"
"0.68539080963783","1184.970483919"
"0.68639080963783","1185.0612234548"
"0.68739080963783","1185.151817988"
"0.68839080963783","1185.2422675193"
"0.68939080963783","1185.3325720494"
"0.69039080963783","1185.422731579"
"0.69139080963783","1185.5127461088"
