Time [s],Thrust [N]
1.5533679716413757,1395.4556487273014
1.5633679716413758,1394.8927764585944
1.5733679716413758,1394.3079926331768
1.5833679716413758,1393.7013087516077
1.5933679716413758,1393.072736768589
1.6033679716413758,1392.4222890930328
1.6133679716413758,1391.7499785881394
1.6233679716413758,1391.0558185714685
1.6333679716413758,1390.3398228150181
1.6433679716413758,1389.6020055452987
1.6533679716413758,1388.842381443424
1.6633679716413758,1388.060965645181
1.6733679716413759,1387.257773741128
1.6833679716413759,1386.4328217766724
1.6933679716413759,1385.5861262521637
1.7033679716413759,1384.7177041229836
1.7133679716413759,1383.82757279964
1.723367971641376,1382.9157501478621
1.733367971641376,1381.9822544886977
1.743367971641376,1381.0271045986076
1.753367971641376,1380.0503197095775
1.763367971641376,1379.0519195092102
1.773367971641376,1378.031924140837
1.783367971641376,1376.9903542036257
1.793367971641376,1375.9272307526849
1.803367971641376,1374.8425752991773
1.813367971641376,1373.7364098104358
1.823367971641376,1372.6087567100758
1.833367971641376,1371.4596388781129
1.843367971641376,1370.2890796510787
1.853367971641376,1369.0971028221506
1.863367971641376,1367.883732641267
1.873367971641376,1366.6489938152554
1.883367971641376,1365.392911507957
1.893367971641376,1364.1155113403595
1.903367971641376,1362.8168193907245
1.913367971641376,1361.496862194722
1.923367971641376,1360.1556667455657
1.933367971641376,1358.7932604941466
1.943367971641376,1357.409671349174
1.953367971641376,1356.0049276773173
1.963367971641376,1354.5790583033433
1.9733679716413761,1353.1320925102675
1.9833679716413761,1351.664060039495
1.9933679716413761,1350.1749910909675
2.003367971641376,1348.6649163233174
2.013367971641376,1347.1338668540172
2.0233679716413757,1345.5818742595359
2.0333679716413755,1344.00897057549
2.0433679716413753,1342.4151882968056
2.053367971641375,1340.8005603778722
2.063367971641375,1339.165120232708
2.0733679716413747,1337.5089017351197
2.0833679716413744,1335.8319392188716
2.0933679716413742,1334.13426747785
2.103367971641374,1332.4159217662263
2.113367971641374,1330.6769377986354
2.1233679716413736,1328.9173517503432
2.1333679716413734,1327.1372002574208
2.143367971641373,1325.3365204169193
2.153367971641373,1323.5153497870465
2.1633679716413727,1321.6737263873522
2.1733679716413725,1319.8116886988983
2.1833679716413723,1317.9292756644502
2.193367971641372,1316.0265266886563
2.203367971641372,1314.1034816382348
2.2133679716413717,1312.1601808421633
2.2233679716413715,1310.196665091866
2.2333679716413712,1308.2129756414035
2.243367971641371,1306.2091542076703
2.253367971641371,1304.1852429705866
2.2633679716413706,1302.1412845732923
2.2733679716413704,1300.077322122346
2.28336797164137,1297.9933991879266
2.29336797164137,1295.8895598040356
2.3033679716413697,1293.7658484686933
2.3133679716413695,1291.6223101441458
2.3233679716413693,1289.4589902570772
2.333367971641369,1287.2759346988094
2.343367971641369,1285.0731898255137
2.3533679716413687,1282.8508024584237
2.3633679716413685,1280.608819884045
2.3733679716413683,1278.3472898543703
2.383367971641368,1276.0662605870937
2.393367971641368,1273.7657807658325
2.4033679716413676,1271.4458995403377
2.4133679716413674,1269.1066665267203
2.423367971641367,1266.7481318076746
2.433367971641367,1264.3703459326928
2.4433679716413668,1261.9733599182985
2.4533679716413666,1259.5572252482684
2.4633679716413663,1257.1219938738632
2.473367971641366,1254.6677182140522
2.483367971641366,1252.1944511557479
2.4933679716413657,1249.7022460540368
2.5033679716413655,1247.1911567324137
2.5133679716413653,1244.6612374830138
2.523367971641365,1242.1125430668546
2.533367971641365,1239.5451287140684
2.533367971641365,1239.5451287140684
2.533367971641365,1239.5451287140684
2.5433696783656705,873.0405452911936
2.553371385089976,603.9733845992125
2.563373091814282,406.4393284444166
2.5733747985385875,261.4208756513814
2.583376505262893,154.95644080979872
2.593378211987199,76.79620900596052
2.6033799187115045,19.415339566134566
2.61338162543581,-22.7104845477682
2.623383332160116,-53.63690784179722
2.6333850388844215,-76.34135761529856
2.643386745608727,-93.00969441637237
